1	1803	SA0
2	1803	SA1
3	1803	NEG
4	1804	SA0
5	1804	SA1
6	1804	NEG
7	1805	SA0
8	1805	SA1
9	1805	NEG
10	1806	SA0
11	1806	SA1
12	1806	NEG
13	1807	SA0
14	1807	SA1
15	1807	NEG
16	2404	SA0
17	2404	SA1
18	2404	NEG
19	2405	SA0
20	2405	SA1
21	2405	NEG
22	2406	SA0
23	2406	SA1
24	2406	NEG
25	2407	SA0
26	2407	SA1
27	2407	NEG
28	2408	SA0
29	2408	SA1
30	2408	NEG
31	2409	SA0
32	2409	SA1
33	2409	NEG
34	2410	SA0
35	2410	SA1
36	2410	NEG
37	3005	SA0
38	3005	SA1
39	3005	NEG
40	3005	RDOB_AND
41	3005	RDOB_NAND
42	3005	RDOB_NOR
43	3005	RDOB_XOR
44	3005	RDOB_NXOR
45	3006	SA0
46	3006	SA1
47	3006	NEG
48	3006	RDOB_AND
49	3006	RDOB_NAND
50	3006	RDOB_NOR
51	3006	RDOB_XOR
52	3006	RDOB_NXOR
53	3007	SA0
54	3007	SA1
55	3007	NEG
56	3007	RDOB_AND
57	3007	RDOB_NAND
58	3007	RDOB_NOR
59	3007	RDOB_XOR
60	3007	RDOB_NXOR
61	3008	SA0
62	3008	SA1
63	3008	NEG
64	3008	RDOB_AND
65	3008	RDOB_OR
66	3008	RDOB_NOR
67	3008	RDOB_XOR
68	3008	RDOB_NXOR
69	3009	SA0
70	3009	SA1
71	3009	NEG
72	3009	RDOB_AND
73	3009	RDOB_OR
74	3009	RDOB_NOR
75	3009	RDOB_XOR
76	3009	RDOB_NXOR
77	3010	SA0
78	3010	SA1
79	3010	NEG
80	3010	RDOB_AND
81	3010	RDOB_OR
82	3010	RDOB_NOR
83	3010	RDOB_XOR
84	3010	RDOB_NXOR
85	3011	SA0
86	3011	SA1
87	3011	NEG
88	3011	RDOB_AND
89	3011	RDOB_OR
90	3011	RDOB_NOR
91	3011	RDOB_XOR
92	3011	RDOB_NXOR
93	3012	SA0
94	3012	SA1
95	3012	NEG
96	3012	RDOB_AND
97	3012	RDOB_NAND
98	3012	RDOB_NOR
99	3012	RDOB_XOR
100	3012	RDOB_NXOR
101	3013	SA0
102	3013	SA1
103	3013	NEG
104	3013	RDOB_AND
105	3013	RDOB_NAND
106	3013	RDOB_NOR
107	3013	RDOB_XOR
108	3013	RDOB_NXOR
109	3014	SA0
110	3014	SA1
111	3014	NEG
112	3014	RDOB_AND
113	3014	RDOB_NAND
114	3014	RDOB_NOR
115	3014	RDOB_XOR
116	3014	RDOB_NXOR
117	3015	SA0
118	3015	SA1
119	3015	NEG
120	3015	RDOB_AND
121	3015	RDOB_NAND
122	3015	RDOB_NOR
123	3015	RDOB_XOR
124	3015	RDOB_NXOR
125	3016	SA0
126	3016	SA1
127	3016	NEG
128	3016	RDOB_AND
129	3016	RDOB_NAND
130	3016	RDOB_NOR
131	3016	RDOB_XOR
132	3016	RDOB_NXOR
133	3017	SA0
134	3017	SA1
135	3017	NEG
136	3017	RDOB_AND
137	3017	RDOB_NAND
138	3017	RDOB_NOR
139	3017	RDOB_XOR
140	3017	RDOB_NXOR
141	3018	SA0
142	3018	SA1
143	3018	NEG
144	3018	RDOB_AND
145	3018	RDOB_NAND
146	3018	RDOB_OR
147	3018	RDOB_NOR
148	3018	RDOB_NXOR
149	3019	SA0
150	3019	SA1
151	3019	NEG
152	3019	RDOB_AND
153	3019	RDOB_NAND
154	3019	RDOB_OR
155	3019	RDOB_NOR
156	3019	RDOB_NXOR
157	3020	SA0
158	3020	SA1
159	3020	NEG
160	3020	RDOB_AND
161	3020	RDOB_NAND
162	3020	RDOB_OR
163	3020	RDOB_NOR
164	3020	RDOB_NXOR
165	3021	SA0
166	3021	SA1
167	3021	NEG
168	3021	RDOB_AND
169	3021	RDOB_NAND
170	3021	RDOB_OR
171	3021	RDOB_NOR
172	3021	RDOB_NXOR
173	3022	SA0
174	3022	SA1
175	3022	NEG
176	3022	RDOB_AND
177	3022	RDOB_NAND
178	3022	RDOB_OR
179	3022	RDOB_NOR
180	3022	RDOB_NXOR
181	3023	SA0
182	3023	SA1
183	3023	NEG
184	3023	RDOB_AND
185	3023	RDOB_NAND
186	3023	RDOB_NOR
187	3023	RDOB_XOR
188	3023	RDOB_NXOR
189	3024	SA0
190	3024	SA1
191	3024	NEG
192	3024	RDOB_AND
193	3024	RDOB_NAND
194	3024	RDOB_NOR
195	3024	RDOB_XOR
196	3024	RDOB_NXOR
197	3025	SA0
198	3025	SA1
199	3025	NEG
200	3025	RDOB_AND
201	3025	RDOB_NAND
202	3025	RDOB_NOR
203	3025	RDOB_XOR
204	3025	RDOB_NXOR
205	3026	SA0
206	3026	SA1
207	3026	NEG
208	3026	RDOB_AND
